id,name,population,area,lat,lon
4242,Nagykamaras,1255,4310,46.4707,21.1193
4251,Ecseg,1165,2410,47.8983,19.6026
4260,Mezotur,16011,28972,47.0005,20.63
4279,Kamut,1025,6048,46.7603,20.9833
4288,Kispirit,47,496,47.1972,17.2401
4297,Kacsota,252,951,46.0385,17.9564
4303,Puspokszilagy,728,2530,47.7403,19.3155
4312,Tarpa,2590,4973,48.1031,22.5291
4321,Bodorfa,80,222,47.076,17.343
4330,Matraszolos,1490,2917,47.945,19.7012
4349,Morahalom,6203,8314,46.2163,19.8895
4358,Nograd,1524,2954,47.9094,19.0479
4367,Bogyoszlo,616,2623,47.5592,17.1863
4376,Lazi,546,1679,47.4652,17.8375
4385,Magyartelek,206,684,45.9455,17.9826
4394,Makad,1225,3177,47.0884,18.9263
4400,Bekolce,570,1377,48.0805,20.2749
4419,Nyesta,28,689,48.3699,20.9519
4428,Acs,6848,10383,47.7104,18.0156
4437,Udvar,103,440,45.902,18.6599
4446,Tiszakerecseny,955,2387,48.2587,22.3001
4455,Nagylengyel,452,1024,46.7786,16.7634
4464,Szakaly,1305,4102,46.5244,18.3839
4473,Kanyavar,113,420,46.5728,16.6806
4482,Oroszlo,274,612,46.2213,18.1215
4491,Senyo,1362,1830,48.0028,21.8785
4507,Szendehely,1622,1004,47.8554,19.105
4516,Rozsafa,326,1664,46.0222,17.8897
4525,Kecsked,2004,1108,47.524,18.3076
4534,Mindszentkalla,243,1084,46.8743,17.5528
4543,Feked,194,1933,46.161,18.5599
4552,Liter,2141,1283,47.0999,18.0076
4561,Abrahamhegy,425,1488,46.8148,17.5715
4570,Marianosztra,815,2027,47.8648,18.872
4589,Veszkeny,980,1035,47.5999,17.0857
4598,Kereki,537,1443,46.796,17.9119
4604,Hejokeresztur,1037,1028,47.9617,20.8839
4613,Gelenes,615,2055,48.1991,22.4463
4622,Zsira,842,1468,47.456,16.6808
4631,Tuskevar,555,1701,47.1184,17.3129
4640,Kam,427,1530,47.1039,16.8812
4659,Martonvasar,5688,3125,47.3141,18.7886
4668,Mihalyhaza,761,2152,47.3097,17.3381
4677,Emod,4641,4937,47.9339,20.8165
4686,Dedestapolcsany,1468,2943,48.1808,20.4842
4695,Vasvar,4130,5510,47.0491,16.7999
4701,Iregszemcse,2544,5834,46.693,18.1836
4710,Nagyar,657,1599,48.0572,22.5528
4729,Saly,1594,2557,47.9493,20.663
4738,Bak,1572,2305,46.7306,16.8456
4747,Sarpilis,683,2170,46.2478,18.7411
4756,Misefa,267,651,46.8051,16.9842
4765,Borszorcsok,329,1180,47.1343,17.4038
4774,Szakoly,2573,4144,47.7616,21.9013
4783,Mosonmagyarovar,33954,8378,47.8732,17.2722
4792,Rabacsanak,499,1386,47.5255,17.2895
4808,Domony,2131,2180,47.6535,19.4384
4817,Zsaka,1528,7879,47.1343,21.436
4826,Kisgyalan,203,941,46.4238,17.9775
4835,Somogyzsitfa,539,2722,46.5531,17.2965
4844,Tereny,339,2435,47.9455,19.4415
4853,Somogyudvarhely,910,4042,46.1773,17.191
4862,Paks,18623,15408,46.6229,18.8589
4871,Litke,817,1816,48.212,19.5988
4880,Agfalva,2389,1308,47.6905,16.5138
4899,Bikal,697,1703,46.3316,18.2848
4905,Pocsmegyer,2399,1308,47.7158,19.0956
4914,Trizs,188,1025,48.4264,20.4942
4923,Karcag,19481,36863,47.3146,20.9241
4932,Taszar,1937,1729,46.3736,17.9052
4950,Ortahaza,98,703,46.6229,16.682
4969,Tormafolde,316,1886,46.5391,16.592
4978,Ipolytolgyes,398,1367,47.9229,18.7744
4987,Megyer,19,426,47.0611,17.1923
4996,Garbolc,118,724,47.9446,22.8618
5005,Irota,71,1234,48.3982,20.8759
5014,Venek,150,689,47.7395,17.7595
5023,Bozsok,360,2091,47.3223,16.4887
5032,Gyula,29308,25579,46.6439,21.2748
5041,Nyirderzs,642,1701,47.8967,22.1614
5050,Csitar,382,1685,48.0543,19.4293
5069,Gyorgytarlo,512,3019,48.2057,21.6317
5078,Rinyabesenyo,216,2863,46.1664,17.52
5087,Lovaszpatona,1068,4990,47.4392,17.6335
5096,Viss,675,1391,48.2159,21.503
5102,Balogunyom,1091,1212,47.1557,16.6519
5111,Csongrad,16010,17389,46.7097,20.1532
5120,Satoraljaujhely,13972,7345,48.3961,21.6561
5139,Birjan,520,907,45.9975,18.3757
5148,Balatonkenese,2632,4418,47.035,18.108
5157,Somlojeno,255,815,47.1228,17.3544
5166,Tomord,286,1536,47.3612,16.6779
5175,Hajduszoboszlo,24009,23862,47.4431,21.3903
5184,Csemo,4244,7944,47.1184,19.6977
5193,Szorosad,85,648,46.6015,18.0233
5209,Villanykovesd,254,749,45.8806,18.4253
5218,Nagygorbo,139,745,46.9311,17.1793
5227,Kisnemedi,657,1384,47.7377,19.2901
5236,Gyongyos,29176,5531,47.78,19.9291
5245,Nemesbikk,914,2410,47.8875,20.9656
5254,Kuncsorba,580,3363,47.1283,20.5553
5263,Karad,1440,5238,46.6935,17.8386
5272,Kanya,390,1452,46.6999,18.0679
5281,Orkeny,4850,3644,47.1298,19.4309
5290,Pilisszanto,2979,1596,47.6693,18.8863
